Code,Agency,From,Through
ZD00,U.S. Court of Appeals for Veterans Claims.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/1999,Present
ZP00,U.S. Commission on International Religious Freedom,9/1/1999,Present
HSAC,U.S. Coast Guard,1/1/2003,Present
CM63,U.S. Census Bureau,3/26/2016,Present
ARP1,"U.S. Army, Pacific",1/1/1994,Present
ARTW,U.S. Army War College,10/1/2003,Present
ARE5,U.S. Army V Corps,4/1/1984,Present
ARTC,U.S. Army Training and Doctrine Command,5/1/1979,Present
ARAT,U.S. Army Test and Evaluation Command,10/1/1999,Present
ARX7,U.S. Army Tank-Automotive and Armament Command (TACOM),5/1/1996,Present
ARXC,U.S. Army Sustainment Command,6/1/1995,Present
ARSC,U.S. Army Space and Missile Defense Command/U. S. Army Forces Strategic Command,2/1/2008,Present
ARSU,U.S. Army Southern Command,6/1/1987,Present
ARSO,U.S. Army South,10/1/2006,Present
ARXP,U.S. Army Security Assistance Command,2/1/1994,Present
ARHR,U.S. Army Reserve Command,3/1/1995,Present
ARXR,"U.S. Army Research, Development and Engineering Command",3/1/2004,Present
ARTA,U.S. Army Recruiting Command and U.S. Army Cadet Command,10/1/2013,Present
AR5A,U.S. Army North,10/1/2006,Present
ARG6,U.S. Army Network Enterprise Technology Command/9th Army Signal Command,6/1/2002,Present
ARXT,U.S. Army Military Surface Deployment and Distribution Command,9/1/2007,Present
ARMW,U.S. Army Military District of Washington,5/1/1979,Present
ARMC,U.S. Army Medical Command,9/1/1994,Present
ARX1,U.S. Army Material Command,5/28/2012,Present
ARXQ,U.S. Army Joint Munitions Command,10/1/2006,Present
ARAS,U.S. Army Intelligence and Security Command,5/1/1979,Present
ARBA,U.S. Army Installation Management Command,10/1/2006,Present
ARHS,U.S. Army Health Services Command,5/1/1979,Present
ARFC,U.S. Army Forces Command,5/1/1979,Present
ARJ1,U.S. Army Element SHAPE,10/1/1981,Present
ARXX,U.S. Army Data Analysis Center,1/31/2019,Present
AR2A,U.S. Army Cyber Command,10/1/2010,Present
ARCE,U.S. Army Corps of Engineers,5/1/2007,Present
ARXD,U.S. Army Contracting Command,10/1/2008,Present
ARX8,U.S. Army Communications Electronics Command,4/1/1984,Present
ARXB,U.S. Army Chemical Materials Agency,12/1/2003,Present
AR3A,U.S. Army Central,10/1/2006,Present
ARX6,U.S. Army Aviation and Missile Command,9/1/2002,Present
ARA1,U.S. Army Africa/Southern European Task Force (USARAF/SETAF),10/1/2011,Present
ARAE,U.S. Army Acquisition Support Center,10/1/2002,Present
ARAA,U.S. Army Accession Command,10/1/2009,Present
AF0D,"U.S. Air Forces, Europe",4/1/1984,Present
AF0B,U.S. Air Force Academy,7/1/1975,Present
AM00,U.S. Agency for International Development,10/1/2020,Present
IB00,U.S. Agency for Global Media,8/22/2018,Present
ARAN,U.S. ARMY NATIONAL MILITARY CEMETERIES,10/1/2014,Present
HSBC,Transportation Security Administration,1/1/2003,Present
TD18,Transportation Administrative Service Center,10/1/2000,Present
ARX4,"Training Activities, AMC",2/1/1985,Present
EW00,Trade and Development Agency,10/1/1996,Present
GZ00,The Women's Suffrage Centennial Commission,11/1/2018,Present
GU00,The US Semiquincentennial Commission,11/1/2018,Present
PD00,The Public Defender Service for the District of Columbia,10/1/2006,Present
LL05,The Naming Commission. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,1/1/2021,Present
TV00,Tennessee Valley Authority. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
GS18,Technology Transformation Service,4/29/2016,Present
CM33,Technology Administration,1/1/1989,Present
ARMD,Surgeon General,4/1/1984,Present
JL01,Supreme Court of the United States.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/1999,Present
HE32,Substance Abuse and Mental Health Services Administration,3/1/1999,Present
NV30,Strategic Systems Programs (SSP),12/12/2019,Present
VABL,Strategic Management Group,2/25/2016,Present
TR37,Special Inspector General For Pandemic Recovery (SIGPR),4/16/2020,Present
AF6T,Space Training and Readiness Command,12/21/2021,Present
AF6S,Space Systems Command,12/21/2021,Present
NN73,Space Station Program Office,12/1/1993,Present
AF6A,Space Rapid Capabilities Office,1/10/2024,Present
AF6B,Space Futures Command,3/5/2024,Present
AF6E,Space Force Service Wide Support Activities,3/5/2024,Present
AF6V,Space Force Elements,10/1/2022,Present
DD84,Space Development Agency,2/13/2020,Present
AF6D,Space Development Agency,6/13/2022,Present
WU00,Southwest Border Regional Commission,1/5/2023,Present
QS00,Southeast Crescent Regional Commission,1/1/2022,Present
SZ00,Social Security Administration,3/1/1995,Present
SM03,Smithsonian Institution (except units administered under separate Boards of Trustees),5/1/1985,Present
SB00,Small Business Administration,6/1/1972,Present
AREN,Seventh Army Training Command,5/1/1979,Present
LL01,Senate.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,2/1/1999,Present
SS00,Selective Service System,6/1/1972,Present
SE00,Securities and Exchange Commission,6/1/1972,Present
NV12,Secretary of the Navy Offices (SECNAV),11/18/2020,Present
HSFA,Science and Technology Directorate,8/1/2011,Present
TW00,SURFACE TRANSPORTATION BOARD,7/21/2019,Present
TR36,SPECIAL INSPECTOR GENERAL FOR THE TROUBLED ASSETS RELIEF PROGRAM (TARP),12/1/2008,Present
SM,SMITHSONIAN INSTITUTION,6/1/1972,Present
AF6C,SFELM United States Space Command,6/13/2022,Present
AF6R,SFELM Activity N,6/13/2022,Present
AG15,Rural Utilities Service,10/1/1995,Present
AG07,Rural Development,4/16/2018,Present
AG32,Rural Business-Cooperative Service,2/1/1996,Present
YG00,Ronald Reagan Centennial Commission,10/1/2010,Present
AG08,Risk Management Agency,10/1/1996,Present
RZ00,Recovery Act Accountability and Transparency Board,3/1/2009,Present
RR00,Railroad Retirement Board,6/1/1972,Present
PI00,Public International Organization. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
DB00,Public Interest Declassification Board,2/1/2006,Present
GS03,Public Buildings Service,6/1/1972,Present
KY00,Public Buildings Reform Board,3/1/2019,Present
HE11,Program Support Center,10/1/1995,Present
VD00,Privacy and Civil Liberties Oversight Board,1/1/2012,Present
FQ02,Pretrial Services Agency,6/1/2000,Present
GJ00,Presidio Trust,3/1/1999,Present
PJ00,Postal Regulatory Commission.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,11/1/2006,Present
VAGF,Plans Exercise TRN & Eval,9/26/2017,Present
TD16,Pipeline and Hazardous Materials Safety Administration,2/1/2005,Present
VAGK,Personnel Security,9/26/2017,Present
DD72,Pentagon Renovation Program Office.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/2004,Present
DD65,Pentagon Force Protection Agency,5/1/2002,Present
BG00,Pension Benefit Guaranty Corporation,9/1/1974,Present
PU00,Peace Corps,6/1/1980,Present
CM56,Patent and Trademark Office,12/1/1985,Present
AF0R,Pacific Air Forces,7/1/1975,Present
DD02,Organization of the Joint Chiefs of Staff,2/1/1994,Present
DJ01,"Offices, Boards and Divisions",6/1/1986,Present
GS22,Offices of the Regional Administrators,7/1/1996,Present
OV00,Office of the Vice President.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
EDEE,Office of the Under Secretary,10/1/1993,Present
TN00,Office of the U.S. Trade Representative,1/1/1980,Present
IN21,Office of the Solicitor,6/1/1977,Present
DLSL,Office of the Solicitor,3/1/1980,Present
HU06,Office of the Senior Coordinator for Southwest,12/1/2001,Present
HU04,Office of the Senior Coordinator for Southeast/Caribbean,12/1/2001,Present
HU08,Office of the Senior Coordinator for Rocky Mountains,12/1/2001,Present
HU09,Office of the Senior Coordinator for Pacific/Hawaii,12/1/2001,Present
HU10,Office of the Senior Coordinator for Northwest/Alaska,12/1/2001,Present
HU02,Office of the Senior Coordinator for New York/New Jersey,12/1/2001,Present
HU01,Office of the Senior Coordinator for New England,12/1/2001,Present
HU05,Office of the Senior Coordinator for Midwest,12/1/2001,Present
HU03,Office of the Senior Coordinator for Mid-Atlantic,12/1/2001,Present
HU07,Office of the Senior Coordinator for Great Plains,12/1/2001,Present
IN01,Office of the Secretary of the Interior,4/1/1984,Present
ARSA,Office of the Secretary of the Army,5/1/1979,Present
TD01,Office of the Secretary of Transportation,6/1/1972,Present
DLAA,Office of the Secretary of Labor,4/1/1984,Present
HUAA,Office of the Secretary of Housing and Urban Development,8/1/1991,Present
HE10,Office of the Secretary of Health and Human Services,2/1/1984,Present
DD01,Office of the Secretary of Defense,11/1/1999,Present
AG01,Office of the Secretary of Agriculture,1/1/1996,Present
VAAA,Office of the Secretary,6/1/1994,Present
CM51,Office of the Secretary,12/1/1985,Present
WH03,Office of the President.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
WHY1,Office of the President Elect.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,9/1/2008,Present
DO00,Office of the National Cyber Director,5/1/2021,Present
DD23,Office of the Local Defense Community Cooperation,7/15/2021,Present
TRTG,Office of the Inspector General for Tax Administration,10/1/1998,Present
DLIG,Office of the Inspector General,10/1/1993,Present
CM64,Office of the Inspector General,12/1/1985,Present
HSAE,Office of the Inspector General,1/1/2003,Present
DJ10,Office of the Inspector General,11/1/1989,Present
AG23,Office of the Inspector General,5/1/1978,Present
GS14,Office of the Human Resources Management,2/23/2014,Present
EDEG,Office of the General Counsel,4/1/1984,Present
AG14,Office of the General Counsel,6/1/1972,Present
WHX1,Office of the Former President. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,9/1/2008,Present
DF00,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,11/1/2006,Present
AGES,Office of the Executive Secretariat,7/1/1991,Present
OI00,Office of the Director of National Intelligence.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2005,Present
FQ01,Office of the Director,6/1/2000,Present
EDEB,Office of the Deputy Secretary of Education,5/1/1994,Present
GS33,Office of the Customer Experience,12/10/2015,Present
TRAJ,Office of the Comptroller of the Currency,4/1/1994,Present
ARGB,Office of the Chief of the National Guard Bureau,5/1/1984,Present
HUNN,Office of the Chief Procurement Officer,9/1/2007,Present
EDEI,Office of the Chief Information Officer,12/1/1996,Present
HUQQ,Office of the Chief Information Officer,5/1/1999,Present
AGIT,Office of the Chief Information Officer,3/1/1997,Present
HUBB,Office of the Chief Human Capital Officer,4/1/2010,Present
VABC,Office of the Chief Human Capital Officer,10/17/2019,Present
DLCF,Office of the Chief Financial Officer,8/1/1996,Present
GS11,Office of the Chief Financial Officer,6/1/1992,Present
AG90,Office of the Chief Financial Officer,10/1/1995,Present
HUFF,Office of the Chief Financial Officer,3/1/1991,Present
HUZZ,Office of the Chief Administrative Officer,8/17/2022,Present
GS16,Office of the Chief Acquisition Officer,7/1/2004,Present
VAJA,Office of the Assistant Secretary for Public and Intergovernmental Affairs,3/1/2006,Present
DLPE,Office of the Assistant Secretary for Policy,4/1/1984,Present
HE31,Office of the Assistant Secretary for Health,8/1/1977,Present
DLAM,Office of the Assistant Secretary for Administration and Management,4/1/1984,Present
DLOW,Office of Workers¿ Compensation Programs,9/1/2009,Present
TR35,Office of Thrift Supervision,8/1/1989,Present
HUYY,Office of Sustainable Housing and Communities,1/1/2010,Present
IN22,Office of Surface Mining Reclamation and Enforcement,1/1/1986,Present
HUXX,Office of Strategic Planning and Management,10/1/2009,Present
GS32,Office of Strategic Communication,10/2/2016,Present
EDEH,Office of Special Education and Rehabilitative Services,4/1/1984,Present
FW00,Office of Special Counsel,7/1/1989,Present
GS10,Office of Small Business Utilization,12/1/2002,Present
TS00,Office of Science and Technology Policy,8/1/1976,Present
DLPA,Office of Public Affairs,6/1/1998,Present
EDEP,Office of Postsecondary Education,4/1/1984,Present
DC00,Office of Policy Development.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,10/1/1998,Present
EDED,"Office of Planning, Evaluation and Policy Development",5/1/2005,Present
OM00,Office of Personnel Management,1/1/1979,Present
AGAO,Office of Partnerships and Public Engagement,4/1/2020,Present
OP00,Office of Pandemic Preparedness and Response Policy,5/8/2023,Present
NV14,Office of Naval Research,4/1/1984,Present
RE00,Office of Navajo and Hopi Indian Relocation,3/1/1989,Present
QQ00,Office of National Drug Control Policy,12/1/1988,Present
GS31,Office of Mission Assurance,11/3/2013,Present
HE50,Office of Medicare Hearings and Appeals,10/1/2017,Present
BO00,Office of Management and Budget,6/1/1972,Present
EDEJ,Office of Legislation and Congressional Affairs,5/1/1994,Present
DLOL,Office of Labor-Management Standards,9/1/2009,Present
DJ07,Office of Justice Programs,1/1/1986,Present
HSIC,Office of Intelligence and Analysis,8/22/2022,Present
DD26,Office of Inspector General,3/1/1984,Present
GS15,Office of Inspector General,9/1/1979,Present
TR95,Office of Inspector General,4/1/1994,Present
HFHI,Office of Inspector General,3/1/2011,Present
TD12,Office of Inspector General,12/1/1980,Present
EDEF,Office of Inspector General,4/1/1984,Present
HUGG,Office of Inspector General,4/1/1980,Present
HB02,Office of Inspector General,8/1/2016,Present
HE13,Office of Inspector General,9/8/2013,Present
IN24,Office of Inspector General,6/1/2020,Present
HULL,Office of Healthy Homes and Lead Hazard Control,11/1/2001,Present
GS26,Office of Government-wide Policy,4/1/1999,Present
GG00,Office of Government Ethics,10/1/1989,Present
GS12,Office of General Counsel,6/1/1972,Present
HUCC,Office of General Counsel,4/1/1980,Present
GS28,Office of GSA IT,9/21/2014,Present
EDEK,Office of Finance and Operations,2/1/2019,Present
HUKK,Office of Field Policy and Management,11/1/2001,Present
DLOF,Office of Federal Contract Compliance Programs,9/1/2009,Present
AGEM,Office of Environmental Markets,5/1/2010,Present
VABK,Office of Enterprise Operations,12/17/2013,Present
VAHA,Office of Enterprise Integration,3/1/2019,Present
EDET,Office of English Language Acquisition,10/1/2002,Present
EDES,Office of Elementary and Secondary Education,4/1/1984,Present
HUVV,Office of Disaster Management and National Security,10/1/2010,Present
DLEH,Office of Disability Employment Policy,1/1/2001,Present
HUII,Office of Departmental Operations and Coordination,1/1/1998,Present
HUUU,Office of Departmental Equal Employment Opportunity,12/1/2003,Present
DLCA,Office of Congressional and Intergovernmental Affairs,6/1/1998,Present
GS20,Office of Congressional and Intergovernmental Affairs,4/1/1996,Present
ZG00,Office of Congressional Workplace Rights. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2019,Present
EDEO,Office of Communications and Outreach,6/1/2005,Present
AG13,Office of Communications,3/1/1995,Present
GS04,Office of Civil Rights,7/1/1998,Present
GS19,Office of Citizen Services and Innovative Technologies,5/1/2010,Present
GS29,Office of Childcare,1/1/1999,Present
AF4F,Office of Chief of Space Operations,8/1/2019,Present
EDEV,"Office of Career, Technical, and Adult Education",1/17/2014,Present
AG42,Office of Budget and Program Analysis,6/1/1981,Present
GS02,Office of Administrative Services,8/1/2011,Present
EC00,Office of Administration,12/1/1977,Present
VAAJ,Office of Accountability and Whistleblower Protection,4/12/2020,Present
EDEC,Office for Civil Rights,4/1/1984,Present
OS00,Occupational Safety and Health Review Commission,6/1/1972,Present
DLSH,Occupational Safety and Health Administration,3/1/1980,Present
VAGG,OPS & National SER,9/26/2017,Present
VQ00,OPEN SOURCE CENTER,6/1/2008,Present
HB01,OFFICE OF THE COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,8/1/2016,Present
AG38,OFFICE OF THE CHIEF ECONOMIST,10/1/1995,Present
IO00,OFFICE OF COOPERATIVE PROGRAMS,6/1/2008,Present
BW00,Nuclear Waste Technical Review Board,3/1/1989,Present
NU00,Nuclear Regulatory Commission,1/1/1975,Present
ST27,Northern Regional Personnel Center.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2002,Present
DG00,Northern Border Regional Commission,3/1/2010,Present
AF4B,Non-DoD and Other Support-USSF,11/29/2023,Present
NN24,Neil A. Armstrong Flight Research Center,10/5/2014,Present
NV09,Navy Staff Offices,4/1/1984,Present
NV72,Navy Reserve Force,9/20/2016,Present
DDC2,Navy Fleet Cyber Command (FLTCYBER). Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2023,Present
NV10,Navy Field Offices,4/1/1984,Present
NV41,Naval Systems Management Activity,6/21/2024,Present
NV23,Naval Supply Systems Command,4/1/1984,Present
NV74,Naval Special Warfare Command,4/1/1992,Present
NV69,Naval Security Group Command,4/1/1984,Present
NV24,Naval Sea Systems Command,4/1/1984,Present
NV65,Naval Meteorology and Oceanography Command,12/1/2001,Present
NV18,Naval Medical Command,4/1/1984,Present
NV15,Naval Intelligence Command,4/1/1984,Present
NV25,Naval Facilities Engineering Systems Command,6/10/2021,Present
NV76,Naval Education and Training Command,10/1/2003,Present
NV19,Naval Air Systems Command,4/1/1984,Present
AG16,Natural Resources Conservation Service,3/1/1995,Present
TB00,National Transportation Safety Board,4/1/1975,Present
CM61,National Telecommunications and Information Administration,12/1/1985,Present
CM62,National Technical Information Service,12/1/1985,Present
AF6N,National Space Intelligence Center,4/18/2024,Present
WH04,National Space Council (NSpC). Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes..,4/23/2021,Present
NS00,National Security Council,6/1/1972,Present
LL08,National Security Commission on Emerging Biotechnology. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,2/1/2023,Present
DD28,National Security Agency/Central Security Service.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
NF00,National Science Foundation,6/1/1972,Present
DD82,National Reconnaissance Office,3/6/2015,Present
IN10,National Park Service,6/1/1972,Present
CM54,National Oceanic and Atmospheric Administration,6/1/1986,Present
NM00,National Mediation Board,6/1/1972,Present
NL00,National Labor Relations Board,6/1/1972,Present
HE38,National Institutes of Health,8/1/1977,Present
CM57,National Institute of Standards and Technology,8/1/1988,Present
AG22,National Institute of Food and Agriculture,10/1/2009,Present
TD10,National Highway Traffic Safety Administration,6/1/1973,Present
DD11,National Geospatial-Intelligence Agency.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,12/1/2003,Present
AF41,"National Geospatial-Intel Agency, AF Element",4/1/2012,Present
SM01,National Gallery of Art,6/1/1972,Present
AH02,National Endowment for the Humanities,10/1/1977,Present
AH01,National Endowment for the Arts,10/1/1977,Present
DD69,National Defense University,9/1/2003,Present
CU00,National Credit Union Administration,6/1/1972,Present
NK00,National Council on Disability,12/1/1993,Present
CX00,National Commission on Libraries and Information Science,6/1/1972,Present
KR00,National Commission on Fiscal Responsibility and Reform,3/1/2010,Present
VAHD,National Center for Veteran Analysis and Statistics,7/1/1996,Present
VAPA,National Cemetery Administration,5/1/2000,Present
NP00,National Capital Planning Commission,6/1/1972,Present
EDEZ,National Assessment Governing Board,10/1/1992,Present
NQ00,National Archives and Records Administration,4/1/1985,Present
AGNA,National Appeals Division,3/1/1995,Present
AF40,National Air and Space Intelligence Center,7/21/2014,Present
AG20,National Agricultural Statistics Service,6/1/1987,Present
AF4V,NON-DOD AND OTHER SUPPORT,10/28/2015,Present
AH,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,6/1/1972,Present
NN,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,6/1/1972,Present
VAAG,My VA Initiative,12/1/2014,Present
EO00,Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation,11/1/2009,Present
DD27,Missile Defense Agency,6/1/2002,Present
ARSF,Miscellaneous Field Operating Agencies,10/1/2009,Present
CM59,Minority Business Development Agency,12/1/1985,Present
DLMS,Mine Safety and Health Administration,3/1/1980,Present
MI00,Millennium Challenge Corporation,1/1/2004,Present
DD83,Military Treatment Facilities under DHA,8/25/2017,Present
NV33,Military Sealift Command,4/1/1984,Present
ARPS,Military Postal Service Agency,4/1/2023,Present
ST14,Metropolitan Technical Support Center.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2002,Present
BD00,Merit Systems Protection Board,1/1/1979,Present
ZL00,Medicare Payment Advisory Commission,10/1/1997,Present
RO00,Medicaid and CHIP Payment and Access Commission,12/1/2009,Present
ST32,Materiel Acquisition Support Center.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2002,Present
ARXL,Materiel Acquisition Project Managers,4/1/1984,Present
ARXK,Materiel Acquisition Activities,4/1/1984,Present
TD13,Maritime Administration,8/1/1981,Present
MA00,Marine Mammal Commission,3/1/1974,Present
DDC4,Marine Forces Cyber Command (MARFORCYBER). Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2023,Present
NN72,Lyndon B. Johnson Space Center,6/1/1973,Present
LC00,Library of Congress.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
NN23,Langley Research Center,6/1/1972,Present
LL,LEGISLATIVE BRANCH,6/1/1972,Present
ARDJ,Joint Special Operations Command,4/7/2014,Present
ARSJ,"Joint Services and Activities Supported by the Office, Secretary of the Army",2/1/1994,Present
DD79,Joint Improvised-Threat Defeat Agency. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,8/1/2015,Present
DDC5,Joint Forces Headquarters-DODIN. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2023,Present
ARJA,Joint Activities,5/1/1979,Present
NN22,John Glenn Research Center at Lewis Field,5/1/2001,Present
NN76,John F. Kennedy Space Center,6/1/1972,Present
SM04,John F. Kennedy Center for the Performing Arts,10/1/1994,Present
NN64,John C. Stennis Space Center,5/1/1988,Present
LQ00,John C. Stennis Center for Public Service Training and Development. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/1989,Present
UJ00,Japan-United States Friendship Commission,3/1/1976,Present
BK00,James Madison Memorial Fellowship Foundation,12/1/1989,Present
JL,JUDICIAL BRANCH,6/1/1972,Present
CM55,International Trade Administration,12/1/1985,Present
GY00,International Joint Commission: United States and Canada,3/1/1986,Present
GX00,International Boundary Commission: United States and Canada,3/1/1986,Present
TR93,Internal Revenue Service,4/1/1994,Present
IF00,Inter-American Foundation,6/1/1972,Present
IP00,Intellectual Property Enforcement Coordinator (IPEC),10/1/2019,Present
AH03,Institute of Museum and Library Services,12/1/1998,Present
EDER,Institute of Education Sciences,9/1/2003,Present
VAAF,Inspector General,6/1/1991,Present
HE37,Indian Health Service,1/1/1988,Present
HSBB,Immigration and Customs Enforcement,8/1/2011,Present
NV08,Immediate Office of the Secretary of the Navy,4/1/1984,Present
EDEA,Immediate Office of the Secretary of Education,4/1/1984,Present
ARE1,Immediate Office of the Commander-in-Chief of the U.S. Army,4/1/1984,Present
ARCS,Immediate Office of the Chief of Staff of the Army,4/1/1984,Present
NV11,Immediate Office of the Chief of Naval Operations,4/1/1984,Present
VAGA,"Immediate Office of the Assistant Secretary for Operations, Security, and Preparedness",7/1/2006,Present
VADA,Immediate Office of the Assistant Secretary for Management,8/1/2000,Present
VAEA,Immediate Office of the Assistant Secretary for Information and Technology,8/1/1998,Present
VABA,Immediate Office of the Assistant Secretary for Human Resources and Administration,6/1/1994,Present
VAKA,Immediate Office of the Assistant Secretary for Congressional and Legislative Affairs,8/1/2004,Present
GS01,Immediate Office of the Administrator,10/1/1985,Present
BJ00,Illinois and Michigan Canal National Heritage Corridor Commission. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,2/1/1994,Present
