Code,Agency
TD15,Surface Transportation Board
TD16,Bureau of Transportation Statistics
TN00,Office of the US Trade Representative
TR35,Office of Thrift Supervision
TR40,"Bureau of Alcohol, Tobacco and Firearms"
TR91,Departmental Offices
TR93,Internal Revenue Service
TR95,Office of Inspector General
TRAA,Financial Management Service
TRAB,Bureau of the Public Debt
TRAC,US Secret Service
TRAD,US Mint
TRAF,US Customs Service
TRAH,Federal Law Enforcement Training Center
TRAI,Bureau of Engraving and Printing
TRAJ,Office of the Comptroller of the Currency
TRTG,Office of the Inspector General for Tax Administration
TS00,Office of Science and Technology Policy
TV00,Tennessee Valley Authority
UJ00,Japan-United States Friendship Commission
UT00,Utah Reclamation Mitigation and Conservation Commission
VAAA,Office of the Secretary
VAAC,Board of Contract Appeals
VAAD,Board of Veterans Appeals
VAAE,General Counsel
VAAF,Inspector General
VAAH,Office of Small and Disadvantaged Business Utilization
VABA,Immediate Ofc of the Assistant Scrtry for Hmn Rsrcs and Adm
VABB,Deputy Assistant Secretary for Security and Law Enforcement
VABC,Deputy Assistant Secretary for Human Resources Management
VABD,Deputy Assistant Secretary for Equal Employment Opportunity
VABE,Deputy Assistant Secretary for Administration
VABF,Deputy Assistant Secretary for Ofc of Resolution Mgmt
VADA,Immediate Office of the Assistant Secretary for Management
VADC,Deputy Assistant Secretary for Budget
VADD,Deputy Assistant Secretary for Financial Management
VADG,Deputy Assistant Secretary for Acquisition and Materiel Mgmt
VAEA,Immediate Ofc of the Assistant Secretary for Info and Tech
VAEB,Deputy Assistant Secretary for Information and Technology
VAHA,Imdt Ofc of the Assistant Secretary for Policy and Planning
VAHB,Deputy Assistant Secretary for Policy
VAHC,Deputy Assistant Secretary for Planning
VAHD,National Center for Veteran Analysis and Statistics
VAJA,Imdt Ofc of the Astnt Scrtry for Public and Intrgovl Affrs
VAJB,Deputy Assistant Secretary for Intergovernmental Affairs
VAJC,Deputy Assistant Secretary for Public Affairs
VAKA,Immediate Ofc of the Assistant Secretary for Cngs Affairs
VAKB,Deputy Assistant Secretary for Congressional Affairs
VALA,Veterans Benefits Administration
VAPA,National Cemetery System
VATA,Veterans Health Administration
WH01,White House Office
WH03,Office of the President
ZD00,US Court of Veterans Appeals
ZG00,Office of Compliance
ZI00,National Gambling Impact Study Commission
ZK00,Commission on the Advancement of Federal Law Enforcement
ZL00,Medicare Payment Advisory Commission
ZM00,Commission on Maintaining US Nuclear Weapons Expertise
ZO00,Commission on Security and Cooperation in Europe
