Doge Agency,Doge Upload Date,Contract URL,Doge Value,Doge Desc,Valid URL,agencyID,PIID,modNumber,transactionNumber,idvAgencyID,idvPIID,idvModNumber,reasonForModification,solicitationID,tasAgencyIdentifier,tasMainAccountCode,tasSubAccountCode,signedDate,effectiveDate,awardCompletionDate,estimatedUltimateCompletionDate,solicitationDate,previousObligatedAmount,obligatedAmount,totalObligatedAmount,previousBaseAndExercisedOptionsValue,baseAndExercisedOptionsValue,totalBaseAndExercisedOptionsValue,previousUltimateContractValue,ultimateContractValue,totalUltimateContractValue,feesPaidForUseOfService,contractingOfficeAgencyID,contractingOfficeAgencyName,contractingOfficeID,contractingOfficeName,fundingRequestingAgencyID,fundingRequestingAgencyName,fundingRequestingOfficeID,fundingRequestingOfficeName,ccrException,UEINumber,vendorName,vendorDoingAsBusinessName,cageCode,vendorStreet,vendorStreet2,vendorCity,vendorState,vendorZip,vendorCountryForDisplay,vendorPhone,vendorFax,vendorCongressionalDistrict,organizationType,stateOfIncorporation,countryOfIncorporation,majorProgramCode,numberOfActions,placeStateCode,placeLocationCode,placeCountryCode,principalPlaceOfPerformanceCountyName,principalPlaceOfPerformanceName,congressionalDistrictPlaceOfPerformance,placeOfPerformanceZIPCode,placeOfPerformanceZIPCode4,productOrServiceCode,productOrServiceCodeDescription,principalNAICSCode,NAICSCodeDescription,systemEquipmentCode,systemEquipmentShortDescription,countryOfOrigin,countryOfOriginForDisplay,claimantProgramCode,claimantProgramCodeShortDescription,extentCompetedForReferencedIDV,idvTypeOfSetAside,typeOfSetAsideSource,idvNumberOfOffersReceived,numberOfOffersReceived,numberOfOffersSource,pricePreferncePercentDifference,otherStatutoryAuthority,descriptionOfContractRequirement,displayAwardType,displayPreparedDate,displayPreparedBy,displayStatus,displayLastModifiedDate,displayLastModifiedBy,displayClosedStatus,displayClosedDate,displayClosedBy,displayApprovedPlaceholder,displayApprovedDate,displayApprovedBy,,tasInitiative,foreignFunding,typeOfContractPricing,inherentlyGovernmentalFunction,multiYearContract,nationalInterest,costOrPricingData,acceptPurchaseCard,undefinitizedAction,performanceBasedServiceContract,contingencyHumanitarianPeacekeepingOperation,contractFinancing,costAccountingStandardsClause,consolidatedContract,ClingerCohenAct,laborStandards,materialsSuppliesArticlesEquipment,constructionWageRateRequirements,listOfAdditionalReportingValues,interagencyContractingAuthority,bundledContractException,placeOfManufacture,manufacturingOrganizationType,recoveredMaterialClauses,informationTechnologyCommercialItemCategory,seaTransportation,GFE_GFP,useOfEPADesignatedProducts,extentCompeted,tradeoffProcess,solicitationProcedures,typeOfSetAside,evaluatedPreference,research,statutoryExceptionToFairOpportunity,reasonNotCompeted,localAreaSetAside,fedBizOpps,A76Action,commercialItemAcquisitionProcedures,commercialItemTestProgram,contractingOfficerBusinessSizeDetermination,subcontractPlan,lastDateToOrder,baseAndAllOptionsValue,totalEstimatedOrderValue,programAcronym,websiteURL,FIPS95Codes,emailAddress,individualOrderLimit,fixedFeeValue,feeRangeLowerValue,feeRangeUpperValue,orderingProcedure,displayIDVType,typeOfIDC,multipleOrSingleAwardIDC,whoCanUse
DEPARTMENT OF COMMERCE,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1344&PIID=1333BJ24A00220002&modNumber=P25001&idvAgencyID=&idvPIID=&contractType=IDV,"$20,000,000","$20,000,000",True,1344,1333BJ24A00220002,P25001,,,,,Terminate for Convenience (complete or partial),,,,,02/03/2025,01/22/2024,,,,,$0.00,$0.00,,,,,,"$20,000,000.00",,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,PLEASE SELECT FAR 4.1102 EXCEPTION BY CLICKING THE ELLIPSIS (...) BUTTON,XT7HFHGJ3LV5,PEOPLES TELEVISION INC,,7KQB0,220 W 30TH ST,FL 2,NEW YORK,NY,100014948,UNITED STATES,(240) 388-5630,,NEW YORK 12,CORPORATE NOT TAX EXEMPT,NY,USA,,,,,,,,,,,T006,PHOTO/MAP/PRINT/PUBLICATION- FILM/VIDEO TAPE PRODUCTION,512110,MOTION PICTURE AND VIDEO PRODUCTION,,,,,,,,,,,,,,,"Video Production. This modification is to comply with the Diversity, Equity, Inclusion, and Accessibility (DEIA) Executive Orders.",,01/28/2025 13:35:56,PTOJEP,Final,02/03/2025 08:18:24,PTOJEP,No,,,,02/03/2025 08:18:24,PTOJEP,Self-Certified Small Disadvantaged Business,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,,No,No - Service where PBA is not used.,Not Applicable,,Not Applicable exempt from CAS,Not Consolidated,No,No,No,No,Service Contract Inventory (FAR 4.17),Not Applicable,Not Bundled,,U.S. Owned Business,Select One,,Select One,Transaction does not use GFP,,Select One,Select One,Select One,Select One,Select One,Select One,Select One,Select One,Select One,Select One,Select One,Commercial Products/Services,Select One,Small Business,Select One,03/30/2029,$0.00,$0.00,,,,,"$10,000,000.00",,,,,BPA,Select One,Multiple Award,Only the Agency awarding the contract may place orders.
DEPARTMENT OF COMMERCE,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1344&PIID=1333BJ20P00222002&modNumber=P25011&idvAgencyID=&idvPIID=&contractType=AWARD,$0,EDUCATOR ENGAGEMENT SERVICES,True,1344,1333BJ20P00222002,P25011,0,,,,Terminate for Convenience (complete or partial),,,,,02/03/2025,09/30/2020,09/29/2025,09/29/2025,,,"-$26,600.00","$4,098,838.00",,"-$26,600.00","$4,098,838.00",,"-$26,600.00","$4,098,838.00",$0.00,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,,G3HMNEAE5KG5,"HOPPE, KATHY",,8JLC3,889 CERRADO SANCHEZ,,RIO RICO,AZ,856482871,UNITED STATES,(334) 332-0049,,ARIZONA 07,SOLE PROPRIETORSHIP,,,,1,AZ,,USA,SANTA CRUZ,RIO RICO,ARIZONA 07,85648,2871,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,611710,EDUCATIONAL SUPPORT SERVICES,,,USA,UNITED STATES,,,,,This Action,,3,This Action,,,"Educator Engagement Services. This purpose of this modification is the partial termination in order to comply with the Diversity, Equity, Inclusion, and Accessibility (DEIA) Executive Orders.",Purchase Order,01/30/2025 08:21:23,PTOJEP,Final,02/19/2025 18:46:44,PTOJEP,No,,,,02/03/2025 08:08:15,PTOJEP,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Select One,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Other,Simplified Acquisition,Small Business Set Aside - Total,No Preference used,Select One,Select One,Select One,No,Not Applicable,No,Commercial Products/Services,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,2/7/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1344&PIID=1333BJ20F00275001&modNumber=P25008&idvAgencyID=&idvPIID=GS35F0119Y&contractType=AWARD,$0,USPTO/OHR TALENT ACQUISITION PLATFORM,True,1344,1333BJ20F00275001,P25008,0,4732,GS35F0119Y,PS2687,Terminate for Convenience (complete or partial),,,,,02/06/2025,06/26/2020,06/25/2025,06/25/2025,05/18/2020,,$0.00,"$508,762.73",,$0.00,"$508,762.73",,$0.00,"$508,762.73",$0.00,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,,DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP.,,1P3C5,11493 SUNSET HILLS RD,,RESTON,VA,201905230,UNITED STATES,(703) 871-8500,(703) 871-8505,VIRGINIA 11,CORPORATE NOT TAX EXEMPT,MD,USA,,1,VA,,USA,ALEXANDRIA CITY,ALEXANDRIA,VIRGINIA 08,22314,6121,R701,SUPPORT- MANAGEMENT: ADVERTISING,511210,SOFTWARE PUBLISHERS,,,USA,UNITED STATES,,,,No set aside used.,FSS,999,1,This Action,,,"Talent Acquisition Platform (LinkedIn) This modification is for a Partial Termination to comply with the Diversity, Equity, Inclusion, and Accessibility (DEIA) Executive Orders.",Delivery/Task Order,01/31/2025 16:47:55,PTOKNJ,Final,02/19/2025 15:58:08,PTOKNJ,No,,,,02/06/2025 14:35:11,PTOKNJ,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Select One,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition,Select One,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Only One Source - Other ,Select One,No,Yes,No,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,2/10/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1344&PIID=1333BJ24A00150001&modNumber=P25002&idvAgencyID=&idvPIID=GS00F008DA&contractType=IDV,"$25,000,000","$25,000,000",True,1344,1333BJ24A00150001,P25002,,4732,GS00F008DA,PA0018,Terminate for Convenience (complete or partial),1333BJ24Q00152001,,,,02/05/2025,06/21/2024,,,,,$0.00,$0.00,,,,,,"$25,000,000.00",,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,,JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC.,,17038,8283 GREENSBORO DR,,MC LEAN,VA,221023830,UNITED STATES,(703) 377-0195,(703) 902-3200,VIRGINIA 11,CORPORATE NOT TAX EXEMPT,DE,USA,,,,,,,,,,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,,,Full and Open Competition,No set aside used.,FSS,999,34,This Action,,,"Organizational Assessment Consulting Services (OACS), Mod P25002
partial termination for Government's convenience. This modification is to comply with the Diversity, Equity, Inclusion, and Accessibility (DEIA) Executive Orders.",,01/28/2025 10:15:27,PTOCJC,Final,02/07/2025 14:47:13,PTOCJC,No,,,,02/07/2025 14:47:13,PTOCJC,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Closely Associated,Select One,Select One,Select One,,No,Yes - Service where PBA is used.,Not Applicable,,Not Applicable exempt from CAS,Not Consolidated,No,Yes,Not Applicable,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,,U.S. Owned Business,Select One,,Select One,Transaction uses GFP,,Full and Open Competition,Trade-off,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Fair Opportunity given,Select One,No,Select One,No,Commercial Products/Services,No,Other than Small Business,Select One,06/20/2029,$0.00,$0.00,,,,,"$25,000,000.00",,,,,BPA,Select One,Single Award,Only the Agency awarding the contract may place orders.
DEPARTMENT OF COMMERCE,2/12/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1344&PIID=1333BJ21P00220003&modNumber=P25007&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,238,320",YOUTH WORK EXPERIENCE - YOUTH JOB PARTNERSHIP,True,1344,1333BJ21P00220003,P25007,0,,,,Terminate for Convenience (complete or partial),,,,,02/11/2025,09/30/2021,09/29/2025,09/29/2026,09/08/2021,,$0.00,"$1,608,899.71",,$0.00,"$1,608,899.71",,$0.00,"$1,608,899.71",$0.00,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,,HY6KHQBTSTN7,URBAN ALLIANCE FOUNDATION INC,,60KP1,2030 Q ST NW,,WASHINGTON,DC,200091010,UNITED STATES,(202) 459-4300,(202) 459-4301,DISTRICT OF COLUMBIA 98,CORPORATE TAX EXEMPT,DC,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20009,1010,U009,EDUCATION/TRAINING- GENERAL,611710,EDUCATIONAL SUPPORT SERVICES,,,USA,UNITED STATES,,,,,This Action,,2,This Action,,,"Youth Work Experience. The purpose of this modification is to terminate for Government's convenience as a result of the Executive Order for Diversity, Equity, Inclusions and Accessibility.",Purchase Order,02/10/2025 18:36:47,PTOYPN,Final,02/11/2025 14:43:36,PTOYPN,No,,,,02/11/2025 14:43:36,PTOYPN,Non Profit Organization,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Select One,Not Consolidated,No,Not Applicable,No,Not Applicable,None of the Above,Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition,Trade-off,Negotiated Proposal/Quote,No set aside used.,No Preference used,Select One,Select One,Select One,No,No,No,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1330&PIID=1305M224C0038&modNumber=P25004&idvAgencyID=&idvPIID=&contractType=AWARD,$0,ORGANIZATIONAL CLIMATE ASSESSMENT,True,1330,1305M224C0038,P25004,0,,,,Terminate for Convenience (complete or partial),,,,,02/13/2025,09/16/2024,02/13/2025,02/13/2025,08/05/2024,,$0.00,"$944,319.30",,$0.00,"$944,319.30",,$0.00,"$944,319.30",$0.00,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,1305M2,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,1333CA,NATIONAL WEATHER SERVICE,,EHVWQC5LJRV9,"PTG INTERNATIONAL, INC.",,46E33,13227 EXECUTIVE PARK TER,,GERMANTOWN,MD,208742648,UNITED STATES,(301) 775-2441,(301) 972-2774,MARYLAND 06,CORPORATE NOT TAX EXEMPT,MD,USA,,1,MD,,USA,MONTGOMERY,GERMANTOWN,MARYLAND 06,20874,2648,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,1,This Action,0,,Organizational Climate Assessment,Definitive Contract,02/12/2025 10:04:44,ANGELA.N.SMITH@NOAA.GOV,Final,02/13/2025 14:00:56,JACQUELYN.A.SHEWMAKER@NOAA.GOV,No,,,,02/13/2025 14:00:56,JACQUELYN.A.SHEWMAKER@NOAA.GOV,"SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",Select One,Not Applicable,Firm Fixed Price,Other Functions,No,Select One,No,No,No,Yes - Service where PBA is used.,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,No,No,No,Service Contract Inventory (FAR 4.17),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Competed under SAP,Other,Simplified Acquisition,8(a) Sole Source ,No Preference used,Select One,Select One,Authorized by Statute (FAR 6.302-5(a)(2)(i)),No,No,Select One,Commercial Products/Services,Yes,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1330&PIID=1305M323FNRMA0027&modNumber=P25001&idvAgencyID=&idvPIID=1305M322DNRMA0003&contractType=AWARD,$0,"STUDY ON EQUITABLE DISTRIBUTION OF FISHERIES MANAGEMENT, PHASE 2",True,1330,1305M323FNRMA0027,P25001,0,1330,1305M322DNRMA0003,0,Terminate for Convenience (complete or partial),,,,,02/06/2025,03/01/2024,02/05/2025,02/05/2025,02/09/2023,,$0.00,"$439,282.00",,$0.00,"$439,282.00",,$0.00,"$439,282.00",$0.00,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,1333CD,OFC OF OCEANIC&ATMOSPH. RESEARCH,,PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,,1D969,2101 CONSTITUTION AVE NW,,WASHINGTON,DC,204180007,UNITED STATES,(202) 334-2428,,DISTRICT OF COLUMBIA 98,CORPORATE TAX EXEMPT,DC,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20418,0007,R499,SUPPORT- PROFESSIONAL: OTHER,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,,,USA,UNITED STATES,,,,No set aside used.,IDC,1,,IDC,,,"Study on Equitable Distribution of Fisheries Management, Phase 2 - mod to terminate for convenience",Delivery/Task Order,02/06/2025 09:55:09,JULIA.L.HAMILTON@NOAA.GOV,Final,02/06/2025 12:18:18,ANGELA.ROYSTER@NOAA.GOV,No,,,,02/06/2025 12:18:18,ANGELA.ROYSTER@NOAA.GOV,Non Profit Organization,Select One,Not Applicable,Cost No Fee,Other Functions,No,Select One,Yes,No,No,Yes - Service where PBA is used.,Not Applicable,Select One,Yes - CAS clause included,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Available for Competition,Other,Only One Source,Select One,No Preference used,Select One,Select One,Authorized by Statute (FAR 6.302-5(a)(2)(i)),No,No,No,Commercial Products/Services Procedures not used,No,Other than Small Business,Plan Not Included - No Subcontracting Possibilities ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1341&PIID=1333ND24FNB480179&modNumber=P25001&idvAgencyID=&idvPIID=1333ND19DNB480016&contractType=AWARD,$0,MEP BOARD DEVELOPMENT SUPPORT SERVICES,True,1341,1333ND24FNB480179,P25001,0,1341,1333ND19DNB480016,0,Terminate for Convenience (complete or partial),,,,,02/05/2025,09/01/2024,08/31/2025,08/31/2025,,,$0.00,"$176,419.00",,$0.00,"$176,419.00",,$0.00,"$176,419.00",$0.00,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,1333ND,DEPT OF COMMERCE NIST,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,1333ND,DEPT OF COMMERCE NIST,,K8QLXHH9PWA5,BATTRA LLC,,67PT0,3396 CLOUDCREST TRAIL,,SIGNAL MOUNTAIN,TN,373771476,UNITED STATES,(202) 997-8675,,TENNESSEE 03,SOLE PROPRIETORSHIP,TN,USA,,1,TN,,USA,HAMILTON,SIGNAL MOUNTAIN,TENNESSEE 03,37377,1476,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,Small Business Set Aside - Total,This Action,8,1,This Action,,,Revised statement of work,Delivery/Task Order,02/05/2025 14:29:50,ROBERT.SINGMAN@NIST.GOV,Final,02/05/2025 14:31:05,ROBERT.SINGMAN@NIST.GOV,No,,,,02/05/2025 14:31:05,ROBERT.SINGMAN@NIST.GOV,"For Profit Organization
Limited Liability Corporation",Select One,Not Applicable,Firm Fixed Price,Other Functions,No,Select One,No,No,No,Yes - Service where PBA is used.,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition after exclusion of sources,Trade-off,Subject to Multiple Award Fair Opportunity,Small Business Set Aside - Total,No Preference used,Select One,Competitive Set Aside,Select One,No,Yes,No,Commercial Products/Services,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1341&PIID=1333ND24PNB400274&modNumber=P25001&idvAgencyID=&idvPIID=&contractType=AWARD,$0,DEIA ANALYSIS SUPPORT SERVICES FOR THE FEDERAL LABORATORY CONSORTIUM,True,1341,1333ND24PNB400274,P25001,0,,,,Terminate for Convenience (complete or partial),,,,,02/13/2025,08/01/2024,01/31/2025,01/31/2025,,,"-$9,167.45","$111,926.06",,"-$9,167.45","$111,926.06",,"-$9,167.45","$111,926.06",$0.00,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,1333ND,DEPT OF COMMERCE NIST,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,1333ND,DEPT OF COMMERCE NIST,,JVWYTH6NACL9,TRANSPACIFIC COMMUNICATIONS LLC,,3U9V8,11844 BRIGHT PASSAGE,,COLUMBIA,MD,210444362,UNITED STATES,(301) 928-7299,,MARYLAND 03,SOLE PROPRIETORSHIP,MD,USA,,1,MD,,USA,HOWARD,COLUMBIA,MARYLAND 03,21044,4362,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Termination for the Government's Convenience,Purchase Order,02/03/2025 14:37:46,ROBERT.SINGMAN@NIST.GOV,Final,02/13/2025 11:13:06,ROBERT.SINGMAN@NIST.GOV,No,,,,02/13/2025 11:13:06,ROBERT.SINGMAN@NIST.GOV,"SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small Business",Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Select One,Not Consolidated,No,No,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Available for Competition,Other,Only One Source,8(a) Sole Source ,No Preference used,Select One,Select One,Authorized by Statute (FAR 6.302-5(a)(2)(i)),No,Not Applicable,Select One,Commercial Products/Services,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,1/31/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1323&PIID=1333LB21F00000332&modNumber=P23002&idvAgencyID=&idvPIID=47QRAA21D002F&contractType=AWARD,"$600,000","$600,000",True,1323,1333LB21F00000332,P23002,0,4732,47QRAA21D002F,0,Close Out,,,,,01/18/2023,09/29/2021,09/28/2022,03/31/2025,09/29/2021,,"-$60,000.00",$0.00,,$0.00,"$150,000.00",,$0.00,"$600,000.00",$0.00,1323,US CENSUS BUREAU,1333LB,DEPT OF COMMERCE CENSUS,1323,US CENSUS BUREAU,1333LB,DEPT OF COMMERCE CENSUS,,JXCEGP8CF7A3,"MONTAGE MARKETING GROUP, LLC",,7BCV5,5714 ABERDEEN RD,,BETHESDA,MD,208141119,UNITED STATES,(202) 210-0672,,MARYLAND 08,PARTNERSHIP,DE,USA,,1,MD,,USA,PRINCE GEORGES,SUITLAND,MARYLAND 04,20746,4519,R799,SUPPORT- MANAGEMENT: OTHER,541613,MARKETING CONSULTING SERVICES,,,USA,UNITED STATES,,,,No set aside used.,FSS,999,1,This Action,,,CLOSEOUT,Delivery/Task Order,01/17/2023 13:43:47,WILLI756,Final,01/18/2023 14:04:12,FERDI001,Yes,01/18/2023 14:04:11,FERDI001,,01/18/2023 14:04:12,FERDI001,"SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",Select One,Not Applicable,Time and Materials,Other Functions,Select One,None,Select One,No,No,Yes - Service where PBA is used.,Not Applicable,Select One,Select One,Not Consolidated,No,Yes,Not Applicable,Not Applicable,Service Contract Inventory (FAR 4.17),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition,Other,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Other Statutory Authority,Select One,No,Yes,No,Commercial Products/Services,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF COMMERCE,2/4/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1344&PIID=1333BJ23F00220001&modNumber=P25007&idvAgencyID=&idvPIID=47QRAA18D006U&contractType=AWARD,"$2,078,441",COUNCIL FOR INCLUSIVE INNOVATION (CI2) PUBLIC RELATIONS FIRM CONTRACT,True,1344,1333BJ23F00220001,P25007,0,4732,47QRAA18D006U,PA0008,Terminate for Convenience (complete or partial),1333BJ23Q00220001,,,,02/10/2025,03/20/2023,03/19/2026,03/19/2028,02/16/2023,,"-$575,607.10","$1,352,304.50",,"-$575,607.10","$1,352,304.50",,"-$575,607.10","$1,352,304.50",$0.00,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,1344,US PATENT AND TRADEMARK OFFICE,1333BJ,DEPT OF COMMERCE PTO,,ENQGF4QFGLP4,"CREATIVE MARKETING RESOURCES, INC.",,3P8A9,250 E WISCONSIN AVE,STE 980,MILWAUKEE,WI,532024205,UNITED STATES,(414) 247-9898,(414) 247-9876,WISCONSIN 04,CORPORATE NOT TAX EXEMPT,WI,USA,,1,WI,,USA,MILWAUKEE,MILWAUKEE,WISCONSIN 04,53202,4205,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541820,PUBLIC RELATIONS AGENCIES,,,USA,UNITED STATES,,,,No set aside used.,This Action,999,3,This Action,,,"Public Relations. The purpose of this modification is to deobligate funds in the amount of $575,607.10.",Delivery/Task Order,02/04/2025 12:40:00,PTOJEP,Final,02/19/2025 12:54:46,PTOEEG,No,,,,02/11/2025 08:11:32,PTOJEP,"SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,No,No,No,No - Service where PBA is not used.,Not Applicable,Not Applicable,Not Applicable exempt from CAS,Not Consolidated,No,Yes,Not Applicable,Not Applicable,Service Contract Inventory (FAR 4.17),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,Environmentally preferable,Select One,Select One,Transaction uses GFP,Not Required,Full and Open Competition,Trade-off,Subject to Multiple Award Fair Opportunity,Economically Disadvantaged Women Owned Small Business,No Preference used,Select One,Competitive Set Aside,Select One,No,Yes,No,Commercial Products/Services,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
